sample_id,station_id,latitude,longitude,level_code,tara_nitrate_level,ebi_nitrate_level,darwin_nitrate_level,nitrate_level,tara_temperature,ebi_temperature,temperature,tara_salinity_level,ebi_salinity_level,salinity_level,tara_oxygen_level,ebi_oxygen_level,darwin_oxygen_level,oxygen_level,darwin_alkalinity
TARA_A100000164,Station18,35.7590,14.2574,SUR,0.000000,99999.000000,15.592011,15.592011,21.437700,21.439500,21.437700,38.071800,37.892450,38.071800,207.397700,207.791417,223.236910,207.397700,2097.715300
TARA_A100000165,Station18,35.7590,14.2574,SUR,0.000000,99999.000000,15.592011,15.592011,21.437700,21.439500,21.437700,38.071800,37.892450,38.071800,207.397700,207.791417,223.236910,207.397700,2097.715300
TARA_A100000171,Station18,35.7590,14.2574,SUR,0.000000,99999.000000,15.592011,15.592011,21.437700,21.439500,21.437700,38.071800,37.892450,38.071800,207.397700,207.791417,223.236910,207.397700,2097.715300
TARA_A100000172,Station18,35.7528,14.2765,DCM,0.000000,99999.000000,15.158144,15.158144,16.929900,18.368390,16.929900,38.222400,37.892410,38.222400,231.573300,237.889300,247.789870,231.573300,2127.943600
TARA_A100000393,Station25,39.3888,19.3905,SUR,0.000000,99999.000000,13.616570,13.616570,18.344200,18.342533,18.344200,38.363900,38.182917,38.363900,218.153100,218.016833,225.910190,218.153100,2196.083500
TARA_A100000394,Station25,39.3888,19.3905,SUR,0.000000,99999.000000,13.616570,13.616570,18.344200,18.342533,18.344200,38.363900,38.182917,38.363900,218.153100,218.016833,225.910190,218.153100,2196.083500
TARA_A100000396,Station25,39.3991,19.3997,DCM,0.000000,99999.000000,13.526254,13.526254,15.394300,15.161277,15.394300,38.619100,38.475705,38.619100,240.079800,229.547682,235.739490,240.079800,2200.590800
TARA_A100000398,Station25,39.3991,19.3997,DCM,0.000000,99999.000000,13.526254,13.526254,15.394300,15.161277,15.394300,38.619100,38.475705,38.619100,240.079800,229.547682,235.739490,240.079800,2200.590800
TARA_A100000400,Station25,39.3885,19.3906,SUR,0.000000,99999.000000,13.616570,13.616570,18.344200,18.342533,18.344200,38.363900,38.182917,38.363900,218.153100,218.016833,225.910190,218.153100,2196.083500
TARA_A100000402,Station25,39.2143,19.4060,SUR,0.000000,99999.000000,13.616570,13.616570,18.420600,18.423908,18.420600,38.375500,38.195300,38.375500,217.156800,217.498000,225.910190,217.156800,2196.083500
TARA_A100000532,Station22,39.8312,17.3952,SUR,0.000000,99999.000000,13.490920,13.490920,17.238600,17.333408,17.238600,38.012400,37.860300,38.012400,222.762300,221.516083,227.152830,222.762300,2201.707300
TARA_A100000534,Station22,39.8386,17.4155,SUR,0.000000,99999.000000,13.490920,13.490920,16.893100,17.041483,16.893100,37.903700,37.759667,37.903700,222.406500,220.927083,227.152830,222.406500,2201.707300
TARA_A100000536,Station22,39.8312,17.3952,SUR,0.000000,99999.000000,13.490920,13.490920,17.238600,17.333408,17.238600,38.012400,37.860300,38.012400,222.762300,221.516083,227.152830,222.762300,2201.707300
TARA_A100000538,Station22,39.8140,17.4138,SUR,0.000000,99999.000000,13.490920,13.490920,16.802700,17.476925,16.802700,37.911800,37.885492,37.911800,227.089000,221.749417,227.152830,227.089000,2201.707300
TARA_A100000539,Station22,39.8386,17.4155,SUR,0.000000,99999.000000,13.490920,13.490920,16.893100,17.041483,16.893100,37.903700,37.759667,37.903700,222.406500,220.927083,227.152830,222.406500,2201.707300
TARA_A100000554,Station23,42.1646,17.7360,DCM,0.000000,99999.000000,12.568941,12.568941,15.992200,14.957100,15.992200,38.519500,38.517800,38.519500,225.662100,225.596667,251.593050,225.662100,2235.967800
TARA_A100000555,Station23,42.1735,17.7252,DCM,0.000000,99999.000000,12.568941,12.568941,15.442500,15.194062,15.442500,38.628000,38.472729,38.628000,223.442700,224.786708,251.593050,223.442700,2235.967800
TARA_A100000556,Station23,42.1694,17.7179,DCM,0.000000,99999.000000,12.568941,12.568941,15.442500,15.868114,15.442500,38.628000,38.340893,38.628000,223.442700,226.595929,251.593050,223.442700,2235.967800
TARA_A100000557,Station23,42.1646,17.7360,DCM,0.000000,99999.000000,12.568941,12.568941,15.992200,14.957100,15.992200,38.519500,38.517800,38.519500,225.662100,225.596667,251.593050,225.662100,2235.967800
TARA_A100000558,Station23,42.1735,17.7252,DCM,0.000000,99999.000000,12.568941,12.568941,15.442500,15.194062,15.442500,38.628000,38.472729,38.628000,223.442700,224.786708,251.593050,223.442700,2235.967800
TARA_A100000559,Station23,42.1735,17.7252,DCM,0.000000,99999.000000,12.568941,12.568941,15.442500,15.194062,15.442500,38.628000,38.472729,38.628000,223.442700,224.786708,251.593050,223.442700,2235.967800
TARA_A100000560,Station23,42.1735,17.7252,DCM,0.000000,99999.000000,12.568941,12.568941,15.442500,15.194062,15.442500,38.628000,38.472729,38.628000,223.442700,224.786708,251.593050,223.442700,2235.967800
TARA_A100000561,Station23,42.1694,17.7179,DCM,0.000000,99999.000000,12.568941,12.568941,15.442500,15.868114,15.442500,38.628000,38.340893,38.628000,223.442700,226.595929,251.593050,223.442700,2235.967800
TARA_A100000594,Station18,35.7405,14.3238,SUR,0.000000,99999.000000,15.592011,15.592011,21.486000,99999.000000,21.486000,38.075800,99999.000000,38.075800,209.006900,99999.000000,223.236910,209.006900,2097.715300
TARA_A100000595,Station18,35.7590,14.2574,SUR,0.000000,99999.000000,15.592011,15.592011,21.437700,21.439500,21.437700,38.071800,37.892450,38.071800,207.397700,207.791417,223.236910,207.397700,2097.715300
TARA_A100000596,Station18,35.7444,14.3083,SUR,0.000000,99999.000000,15.592011,15.592011,21.486000,99999.000000,21.486000,38.075800,99999.000000,38.075800,209.006900,99999.000000,223.236910,209.006900,2097.715300
TARA_A100000598,Station18,35.7590,14.2574,SUR,0.000000,99999.000000,15.592011,15.592011,21.437700,21.439500,21.437700,38.071800,37.892450,38.071800,207.397700,207.791417,223.236910,207.397700,2097.715300
TARA_A100000602,Station18,35.7528,14.2765,DCM,0.000000,99999.000000,15.158144,15.158144,16.929900,18.368390,16.929900,38.222400,37.892410,38.222400,231.573300,237.889300,247.789870,231.573300,2127.943600
TARA_A100000604,Station18,35.7528,14.2765,DCM,0.000000,99999.000000,15.158144,15.158144,16.929900,18.368390,16.929900,38.222400,37.892410,38.222400,231.573300,237.889300,247.789870,231.573300,2127.943600
TARA_A100001026,Station32,23.3600,37.2183,SUR,-0.508530,-0.541919,19.909714,-0.508530,25.813600,25.824383,25.813600,39.934800,39.747250,39.934800,188.129600,188.416583,202.071370,188.129600,1984.399900
TARA_A100001035,Station32,23.3600,37.2183,SUR,-0.508530,-0.541919,19.909714,-0.508530,25.813600,25.824383,25.813600,39.934800,39.747250,39.934800,188.129600,188.416583,202.071370,188.129600,1984.399900
TARA_A100001141,Station32,23.3600,37.2183,SUR,-0.508530,-0.541919,19.909714,-0.508530,25.813600,25.824383,25.813600,39.934800,39.747250,39.934800,188.129600,188.416583,202.071370,188.129600,1984.399900
TARA_A100001142,Station32,23.3600,37.2183,SUR,-0.508530,-0.541919,19.909714,-0.508530,25.813600,25.824383,25.813600,39.934800,39.747250,39.934800,188.129600,188.416583,202.071370,188.129600,1984.399900
TARA_A100001143,Station32,23.3600,37.2183,SUR,-0.508530,-0.541919,19.909714,-0.508530,25.813600,25.824383,25.813600,39.934800,39.747250,39.934800,188.129600,188.416583,202.071370,188.129600,1984.399900
TARA_A100001144,Station32,23.3733,37.2167,SUR,0.082868,0.241845,19.909714,0.082868,25.857800,25.905408,25.857800,39.906000,39.719567,39.906000,188.175600,187.913833,202.071370,188.175600,1984.399900
TARA_A100001195,Station33,21.9467,38.2517,SUR,0.074824,-0.000271,18.914629,0.074824,27.330400,27.329517,27.330400,39.121600,38.937417,39.121600,182.762200,182.812167,199.383970,182.762200,1980.725600
TARA_A100001201,Station33,21.9467,38.2517,SUR,0.074824,-0.000271,18.914629,0.074824,27.330400,27.329517,27.330400,39.121600,38.937417,39.121600,182.762200,182.812167,199.383970,182.762200,1980.725600
TARA_A100001234,Station33,21.9467,38.2517,SUR,0.074824,-0.000271,18.914629,0.074824,27.330400,27.329517,27.330400,39.121600,38.937417,39.121600,182.762200,182.812167,199.383970,182.762200,1980.725600
TARA_A100001244,Station33,21.9467,38.2517,SUR,0.074824,-0.000271,18.914629,0.074824,27.330400,27.329517,27.330400,39.121600,38.937417,39.121600,182.762200,182.812167,199.383970,182.762200,1980.725600
TARA_A100001245,Station33,21.9467,38.2517,SUR,0.074824,-0.000271,18.914629,0.074824,27.330400,27.329517,27.330400,39.121600,38.937417,39.121600,182.762200,182.812167,199.383970,182.762200,1980.725600
TARA_A100001246,Station33,22.0850,38.2083,SUR,0.324790,0.244040,19.140753,0.324790,27.275000,27.293650,27.275000,39.134500,38.949650,39.134500,183.687000,184.294833,199.806210,183.687000,1981.460200
TARA_A100001388,Station31,27.1600,34.8350,SUR,-0.137280,-0.137284,21.797586,-0.137280,25.058100,25.062100,25.058100,40.172400,39.981867,40.172400,189.506300,188.763583,207.172780,189.506300,1994.622200
TARA_A100001392,Station31,27.1600,34.8350,SUR,-0.137280,-0.137284,21.797586,-0.137280,25.058100,25.062100,25.058100,40.172400,39.981867,40.172400,189.506300,188.763583,207.172780,189.506300,1994.622200
TARA_A100001401,Station31,27.1600,34.8350,SUR,-0.137280,-0.137284,21.797586,-0.137280,25.058100,25.062100,25.058100,40.172400,39.981867,40.172400,189.506300,188.763583,207.172780,189.506300,1994.622200
TARA_A100001403,Station31,27.1600,34.8350,SUR,-0.137280,-0.137284,21.797586,-0.137280,25.058100,25.062100,25.058100,40.172400,39.981867,40.172400,189.506300,188.763583,207.172780,189.506300,1994.622200
TARA_A100001431,Station31,27.1483,34.8117,SUR,-0.049320,-0.007566,21.797586,-0.049320,24.919000,24.994433,24.919000,40.127800,39.938375,40.127800,192.072200,190.825500,207.172780,192.072200,1994.622200
TARA_A100001432,Station31,27.1550,34.8300,SUR,-0.137280,-0.137284,21.797586,-0.137280,25.058100,25.062100,25.058100,40.172400,39.981867,40.172400,189.506300,188.763583,207.172780,189.506300,1994.622200
TARA_A100001433,Station31,27.1600,34.8350,SUR,-0.137280,-0.137284,21.797586,-0.137280,25.058100,25.062100,25.058100,40.172400,39.981867,40.172400,189.506300,188.763583,207.172780,189.506300,1994.622200
TARA_A100001516,Station32,23.3600,37.2183,SUR,-0.508530,-0.541919,19.909714,-0.508530,25.813600,25.824383,25.813600,39.934800,39.747250,39.934800,188.129600,188.416583,202.071370,188.129600,1984.399900
TARA_B000000437,Station65,-35.1728,26.2868,SUR,0.000000,99999.000000,12.802575,12.802575,21.819700,21.816840,21.819700,35.613900,35.446660,35.613900,206.206200,207.043900,228.414050,206.206200,1973.179300
TARA_B000000441,Station65,-35.2421,26.3048,DCM,0.000000,99999.000000,12.810086,12.810086,21.814400,21.814950,21.814400,0.000000,99999.000000,,206.402000,206.437250,228.376770,206.402000,1973.263900
TARA_B000000475,Station66,-34.9449,17.9189,SUR,2.384800,2.450991,14.088745,2.384800,15.028500,15.033492,15.028500,35.489900,35.323317,35.489900,238.929900,238.916333,242.565550,238.929900,1994.753800
TARA_B000000477,Station66,-34.8901,18.0459,DCM,0.000000,99999.000000,14.055993,14.055993,15.026700,15.018950,15.026700,0.000000,35.331500,35.331500,240.730100,240.413500,242.385470,240.730100,1995.785200
TARA_B000000532,Station62,-22.3368,40.3412,SUR,-0.342970,-0.166794,11.755020,-0.342970,25.083400,25.080167,25.083400,35.491500,35.324825,35.491500,199.614300,199.895917,212.853600,199.614300,1967.207900
TARA_B000000557,Station58,-17.2855,42.2866,DCM,0.820270,99999.000000,11.530273,0.820270,24.986000,26.340180,24.986000,35.324200,99999.000000,35.324200,180.299600,190.964900,212.838130,180.299600,1964.360800
TARA_B000000609,Station56,-15.3424,43.2965,SUR,0.000000,99999.000000,11.478440,11.478440,27.322800,27.323117,27.322800,35.168300,35.003133,35.168300,192.931500,193.057750,202.830060,192.931500,1963.228500
